minimum,	time_measurement
252.07009,	114080
277.99451,	116153
244.05843,	104123
269.30255,	111180
245.89139,	81012
244.56813,	74849
263.63725,	114925
314.87645,	113992
232.01053,	102594
283.18419,	115956
273.17958,	86461
241.04728,	108117
300.99652,	115928
254.66700,	113537
258.83469,	103840
297.28476,	115473
245.31775,	90909
265.66306,	100925
266.24911,	103640
300.78656,	103582
265.20926,	100849
263.43439,	100465
236.06162,	57585
300.44589,	102484
275.47282,	103549
255.73595,	96723
268.85966,	90461
266.27597,	101391
280.72293,	102210
266.28243,	100459
